series,fixed_axis,fixed_voltage_v,x_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
T,y,0.223,-1.424,59904542.772808455,8367305.970729662,2378339.429776565,2217183.2023509573
T,y,0.223,-1.317,50945850.14319,21784859.09796783,2629961.1981968684,1941782.6318568578
T,y,0.223,-1.218,37938789.651432246,35654711.78653066,2358718.572110285,2108629.5184453465
T,y,0.223,-1.096,23287250.641486153,50058899.102919415,2061113.3543522076,2265310.974610331
T,y,0.223,-0.914,17732474.705563024,55670772.665105104,1568667.9362178706,2373440.5521154446
T,y,0.223,-0.804,26358180.88565526,48679148.77673235,1147709.415730501,1903109.8156617524
T,y,0.223,-0.695,35759067.409632176,39549398.84731208,612363.0490016747,951331.9518437481
T,y,0.223,-0.605,31477701.781292934,41931484.05067985,388990.8973624022,522343.05938883335
T,y,0.223,-0.512,33485634.026594877,37970202.48618803,298955.52574903716,341457.60726430727
T,y,0.223,-0.394,35168042.36317411,31099615.38879841,295152.2218283695,291963.70292423625
