series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
B,x,-1.205,-0.406,21488803.41160029,7755496.868440723,11557394.769577466,17333827.52731208
B,x,-1.205,-0.308,27364517.930585347,11712612.988655329,13368495.995500296,21237544.247097153
B,x,-1.205,-0.206,29925631.296738625,15238871.169461317,15056501.266219627,23266920.848292045
B,x,-1.205,-0.106,29932110.35404403,18059512.42204412,18536947.679339908,24079484.215426005
B,x,-1.205,-0.004,28118862.46613074,19778614.407701947,22486308.96449539,24800013.790004276
B,x,-1.205,0.099,26470381.966548324,21628081.01748932,27661718.196884118,39540676.78472293
B,x,-1.205,0.201,23811369.939580724,23584606.314988106,41485987.402423695,37253681.30282926
B,x,-1.205,0.301,21480444.9482542,25217444.086119644,51924426.48995267,26769315.334835067
B,x,-1.205,0.402,18720106.017912664,25846660.2904204,55293400.35524824,20517825.701450944
B,x,-1.205,0.509,16080995.80624121,27114165.84753757,51424567.811783746,20959539.3744232
B,x,-1.205,0.605,13382903.102697847,27676343.82276141,41744464.4860952,26837686.231117476
B,x,-1.205,0.699,11235628.788733717,28472844.47699346,29343689.316065438,36761872.83847638
B,x,-1.205,0.805,8966760.914711062,22901217.164518707,15890049.757374518,49679120.045188285
B,x,-1.205,0.905,7548354.9452642165,3964500.52318312,6807236.798498015,58070715.11414891
