series,fixed_axis,fixed_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
T,x,-1.198,-0.503,14048430.982040297,4051986.0783259156,451438.41607138165,521969.18056499015
T,x,-1.198,-0.399,33558853.98891634,11883811.02573857,786793.294257025,1059280.9136144356
T,x,-1.198,-0.302,41322584.47545708,17861306.65359904,1002608.6174909715,1498896.2778755017
T,x,-1.198,-0.208,44603811.849257566,22924782.013203017,1126177.2046849704,1775330.236797
T,x,-1.198,-0.1,44964551.08585781,27863607.97486818,1463396.9171361132,1906702.1501439782
T,x,-1.198,0.004,41914067.66095515,30715698.523534246,1739248.319841003,1962121.029083305
T,x,-1.198,0.101,40984892.318060696,34725566.12835545,1965258.0953749267,2631314.1318362756
T,x,-1.198,0.205,37014088.986325026,37709818.56242737,2858437.4432253297,2881509.128083592
T,x,-1.198,0.3,33778796.70096288,40503179.420280255,3583558.7948966078,2156667.422067032
T,x,-1.198,0.402,29483130.381061293,42412057.85536277,3891597.626142874,1571218.5828553648
T,x,-1.198,0.504,25957045.6460557,44262431.67096768,3721889.354230268,1479542.3022661232
T,x,-1.198,0.604,21340133.84452418,45155974.33069715,3077085.9949583905,1824194.0322337255
T,x,-1.198,0.695,17799236.827110715,45739083.389636844,2243605.9837003406,2390266.094618178
T,x,-1.198,0.802,14414726.206228828,43423827.01553786,1490058.9487538463,3301791.9045199584
T,x,-1.198,0.907,12183586.340411576,6555535.797917698,1415924.3625788754,4600928.04758067
T,x,-1.198,0.992,10342324.545244182,2917010.23230864,1131154.8524068387,4505899.73464335
