filename,capture_type,series,fixed_axis,x_voltage_v,y_voltage_v,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d198_Yp0d205_2026-08-11T09-00-43.950.tif,initialization,T,x,-1.198,0.205,91,2026-08-11T09:00:43.950,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d992_2026-08-11T09-01-37.745.tif,scan_point,T,x,-1.198,0.992,91,2026-08-11T09:01:37.745,32335,1080,1440,1,765
T_series_x_Xn1d198_Yp0d907_2026-08-11T09-02-03.291.tif,scan_point,T,x,-1.198,0.907,91,2026-08-11T09:02:03.291,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d802_2026-08-11T09-02-29.572.tif,scan_point,T,x,-1.198,0.802,91,2026-08-11T09:02:29.572,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d695_2026-08-11T09-02-58.810.tif,scan_point,T,x,-1.198,0.695,91,2026-08-11T09:02:58.810,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d604_2026-08-11T09-03-17.857.tif,scan_point,T,x,-1.198,0.604,91,2026-08-11T09:03:17.857,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d504_2026-08-11T09-03-42.268.tif,scan_point,T,x,-1.198,0.504,91,2026-08-11T09:03:42.268,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d402_2026-08-11T09-04-02.634.tif,scan_point,T,x,-1.198,0.402,91,2026-08-11T09:04:02.634,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d300_2026-08-11T09-04-25.300.tif,scan_point,T,x,-1.198,0.3,91,2026-08-11T09:04:25.300,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d205_2026-08-11T09-04-42.182.tif,scan_point,T,x,-1.198,0.205,91,2026-08-11T09:04:42.182,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d101_2026-08-11T09-04-57.782.tif,scan_point,T,x,-1.198,0.101,91,2026-08-11T09:04:57.782,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yp0d004_2026-08-11T09-05-15.331.tif,scan_point,T,x,-1.198,0.004,91,2026-08-11T09:05:15.331,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yn0d100_2026-08-11T09-05-40.951.tif,scan_point,T,x,-1.198,-0.1,91,2026-08-11T09:05:40.951,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yn0d208_2026-08-11T09-06-02.010.tif,scan_point,T,x,-1.198,-0.208,91,2026-08-11T09:06:02.010,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yn0d302_2026-08-11T09-06-19.269.tif,scan_point,T,x,-1.198,-0.302,91,2026-08-11T09:06:19.269,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yn0d399_2026-08-11T09-06-47.513.tif,scan_point,T,x,-1.198,-0.399,91,2026-08-11T09:06:47.513,32335,1080,1440,1,1022
T_series_x_Xn1d198_Yn0d503_2026-08-11T09-07-05.916.tif,scan_point,T,x,-1.198,-0.503,91,2026-08-11T09:07:05.916,32335,1080,1440,1,1022
