series,fixed_axis,fixed_voltage_v,x_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity
B,y,0.224,-2.598,133678.11853848735,139626.3919366639,357471.0727611984,1056078.4399351124
B,y,0.224,-2.505,175240.11906649443,260746.31448236931,1032495.135559649,9718802.420972781
B,y,0.224,-2.401,406161.7129885465,698235.229434834,2944917.3448421527,23970441.691491786
B,y,0.224,-2.308,571207.8213415858,795615.4006222598,4531636.576890526,33204507.7332499
B,y,0.224,-2.2,255150.53049252185,277677.42892107903,4117371.809039701,57046559.96900099
B,y,0.224,-2.1,227585.68056505854,229365.26183115965,12799746.785107657,54010318.2779057
B,y,0.224,-2.002,212316.45259239615,236256.16280078812,25838809.13937942,43979215.1532859
B,y,0.224,-1.902,227444.85892122047,217137.02551902377,40538038.16413744,32301228.234185316
B,y,0.224,-1.803,421081.1222493266,229978.54460632594,50141998.46157275,22012621.611378595
B,y,0.224,-1.701,1111019.2919027307,297757.79064615053,55815329.59807518,17150353.28558142
B,y,0.224,-1.596,1793477.9260164027,412230.91162801,54427118.34639546,19791576.441706553
B,y,0.224,-1.498,3496365.3231816976,369555.67133630486,45968146.05961453,29026777.442113407
B,y,0.224,-1.406,3328087.4635874815,766215.915408248,40576907.298167065,36033588.25293492
B,y,0.224,-1.303,2635392.1015617307,1445216.6447529485,44230257.65884279,31365248.36783238
B,y,0.224,-1.2,1924891.323022959,2193746.6328963656,39684218.97898467,33816223.00491892
B,y,0.224,-1.098,1332284.9150919542,2804788.979592302,35202357.298290096,36553400.02906022
B,y,0.224,-1.012,1104617.0411395477,3066829.0962454793,30980991.868586667,38540838.81104718
B,y,0.224,-0.899,1292701.1100879486,2982661.7749597747,25052833.220281072,39829499.10064842
B,y,0.224,-0.796,1953004.9548312423,2708772.053756039,18768577.163092516,33396565.705122795
B,y,0.224,-0.702,2482414.2462110436,2622750.5529826563,10982180.268190783,20557241.205210745
B,y,0.224,-0.602,2378644.071125137,2755777.0220238133,4381422.686770435,7572956.178666553
