filename,capture_type,experiment_type,series,fixed_axis,x_voltage_v,y_voltage_v,rotation_degrees,exposure_us,timestamp,camera_serial,image_height,image_width,minimum_value,maximum_value
init_Xn1d177_Yp0d176_2026-08-18T14-34-07.559.tif,initialization,rotation,,,-1.177,0.1761,,91,2026-08-18T14:34:07.559,32335,1080,1440,1,1022
rotation_Dp0d000_Xn1d177_Yp0d176_2026-08-18T14-34-12.121.tif,scan_point,rotation,,,-1.177,0.1761,0.0,91,2026-08-18T14:34:12.121,32335,1080,1440,1,1022
rotation_Dp40d000_Xn1d177_Yp0d176_2026-08-18T14-34-47.647.tif,scan_point,rotation,,,-1.177,0.1761,40.0,91,2026-08-18T14:34:47.647,32335,1080,1440,1,1022
rotation_Dp80d000_Xn1d177_Yp0d176_2026-08-18T14-35-01.581.tif,scan_point,rotation,,,-1.177,0.1761,80.0,91,2026-08-18T14:35:01.581,32335,1080,1440,1,1022
rotation_Dp120d000_Xn1d177_Yp0d176_2026-08-18T14-35-21.168.tif,scan_point,rotation,,,-1.177,0.1761,120.0,91,2026-08-18T14:35:21.168,32335,1080,1440,1,1022
rotation_Dp160d000_Xn1d177_Yp0d176_2026-08-18T14-35-34.151.tif,scan_point,rotation,,,-1.177,0.1761,160.0,91,2026-08-18T14:35:34.151,32335,1080,1440,1,1022
rotation_Dp200d000_Xn1d177_Yp0d176_2026-08-18T14-35-52.651.tif,scan_point,rotation,,,-1.177,0.1761,200.0,91,2026-08-18T14:35:52.651,32335,1080,1440,1,1022
rotation_Dp240d000_Xn1d177_Yp0d176_2026-08-18T14-36-07.823.tif,scan_point,rotation,,,-1.177,0.1761,240.0,91,2026-08-18T14:36:07.823,32335,1080,1440,1,1022
rotation_Dp280d000_Xn1d177_Yp0d176_2026-08-18T14-38-02.706.tif,scan_point,rotation,,,-1.177,0.1761,280.0,91,2026-08-18T14:38:02.706,32335,1080,1440,1,1022
rotation_Dp320d000_Xn1d177_Yp0d176_2026-08-18T14-38-15.146.tif,scan_point,rotation,,,-1.177,0.1761,320.0,91,2026-08-18T14:38:15.146,32335,1080,1440,1,1022
rotation_Dp360d000_Xn1d177_Yp0d176_2026-08-18T14-38-27.379.tif,scan_point,rotation,,,-1.177,0.1761,360.0,91,2026-08-18T14:38:27.379,32335,1080,1440,1,1022
