rotation_degrees,x_voltage_v,y_voltage_v,pupil_1_intensity,pupil_2_intensity,pupil_3_intensity,pupil_4_intensity,summed_intensity
0.0,-1.177,0.1761,16460593.077100657,15593231.850671869,25911662.66157891,19867678.28274992,77833165.87210135
40.0,-1.177,0.1761,30617458.893715784,1159941.3072975876,1227470.5955385235,44924182.8980041,77929053.694556
80.0,-1.177,0.1761,12201452.93683492,6064187.335234214,34891247.234395444,12158568.28761938,65315455.79408396
120.0,-1.177,0.1761,13038510.130558964,17642691.707675613,16120223.872696796,28378752.710280214,75180178.42121159
160.0,-1.177,0.1761,19679584.260539208,12170612.975276183,3681512.168335812,38793202.00727059,74324911.41142179
200.0,-1.177,0.1761,29659488.665595386,1503558.4410111024,22857290.387949035,23155716.59112737,77176054.08568288
240.0,-1.177,0.1761,10289366.035614392,4252967.41404852,11799570.009536456,35202823.77677394,61544727.235973306
280.0,-1.177,0.1761,10133378.929258056,3513373.191469158,30583928.57376822,16864559.137346394,61095239.831841834
320.0,-1.177,0.1761,30432362.83811481,808189.1155061538,14913881.61089891,31242808.001931395,77397241.56645127
360.0,-1.177,0.1761,16406915.685879374,15610663.079674631,25189627.544045534,20297898.57345504,77505104.88305457
